Year,Airlines,January,February,March,April,May,June,July,August,September,October,November,December
2017,Air Asia,17.0,0.0,6.0,8.0,4.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0
2017,Go First,88.0,23.0,9.0,32.0,20.0,14.0,24.0,16.0,31.0,4.0,12.0,58.0
2017,Indigo,247.0,61.0,69.0,50.0,38.0,890.0,117.0,87.0,84.0,67.0,39.0,185.0
2017,Jetlite,17.0,15.0,4.0,9.0,10.0,2.0,8.0,13.0,37.0,20.0,34.0,30.0
2017,Spice Jet,74.0,34.0,28.0,35.0,38.0,27.0,42.0,56.0,57.0,35.0,57.0,85.0
2017,Jet Airways,81.0,13.0,12.0,53.0,38.0,20.0,34.0,57.0,182.0,36.0,60.0,85.0
2017,Vistara,26.0,2.0,3.0,8.0,0.0,0.0,20.0,3.0,7.0,14.0,10.0,16.0
2017,Air India,175.0,35.0,92.0,60.0,34.0,150.0,156.0,169.0,136.0,144.0,104.0,172.0
2018,Air India,190.0,85.0,101.0,117.0,130.0,299.0,306.0,348.0,193.0,480.0,303.0,287.0
2018,Air Asia,6.0,4.0,2.0,8.0,0.0,12.0,10.0,22.0,25.0,17.0,24.0,4.0
2018,Go First,33.0,66.0,50.0,8.0,47.0,61.0,134.0,20.0,17.0,0.0,10.0,3.0
2018,Indigo,556.0,365.0,658.0,128.0,117.0,65.0,30.0,889.0,82.0,77.0,253.0,168.0
2018,Jet Airways,105.0,13.0,46.0,9.0,68.0,88.0,24.0,91.0,29.0,20.0,71.0,31.0
2018,Jetlite,27.0,17.0,34.0,0.0,12.0,2.0,16.0,33.0,22.0,2.0,10.0,8.0
2018,Spice Jet,62.0,21.0,39.0,56.0,47.0,49.0,40.0,54.0,43.0,47.0,83.0,90.0
2018,Vistara,15.0,4.0,0.0,0.0,18.0,20.0,4.0,14.0,2.0,8.0,5.0,0.0
2019,Air India,322.0,248.0,298.0,130.0,111.0,91.0,490.0,453.0,310.0,550.0,442.0,456.0
2019,Air Asia,5.0,89.0,28.0,0.0,18.0,114.0,12.0,22.0,0.0,0.0,29.0,65.0
2019,Go First,55.0,37.0,3.0,2.0,27.0,17.0,38.0,76.0,10.0,33.0,184.0,233.0
2019,Indigo,922.0,645.0,66.0,43.0,383.0,39.0,536.0,361.0,208.0,119.0,442.0,880.0
2019,Jet Airways,179.0,197.0,105.0,229.0,27.0,32.0,,,,,,
2019,Jetlite,20.0,0.0,77.0,72.0,27.0,32.0,,,,,,
2019,Spice Jet,109.0,125.0,115.0,84.0,65.0,88.0,242.0,91.0,65.0,87.0,248.0,257.0
2019,Vistara,20.0,26.0,3.0,13.0,25.0,54.0,68.0,24.0,13.0,16.0,35.0,63.0
2020,Air Asia,30.0,8.0,206.0,20.0,0.0,0.0,137.0,6.0,3.0,8.0,22.0,20.0
2020,Air India,504.0,237.0,1344.0,20.0,114.0,197.0,543.0,556.0,602.0,782.0,170.0,97.0
2020,Go First,116.0,12.0,882.0,20.0,0.0,27.0,2.0,0.0,2.0,0.0,0.0,25.0
