Airport,2019-20,2020-21,2021-22,2022-23
Delhi (Dial),67301016,22583736,39339998,65540896
Mumbai (Mial),45873329,11054811,21747892,43349828
Bangalore (Bial),32361666,10914194,16287097,31908834
Hyderabad (Ghial),21651878,8048248,12429796,21108504
Chennai,22266722,5495707,9533301,18643276
Kolkata,22015391,7728906,11036108,17873303
Ahmedabad,11432996,3642413,5670896,10187965
Cochin (Cial),9624334,2458458,4717777,8875626
Goa,8356240,2890545,5238051,8418722
Pune,8085607,2137859,3713491,8157161
Lucknow,5433757,2441037,3303960,5292508
Guwahati,5457449,2189135,3148956,5007599
Jaipur,5031561,1850187,2943171,4813275
Srinagar,2820924,1802904,3158400,4410723
Patna,4525765,2710000,2967681,3752906
Chandigarh,2445202,1381634,2289169,3668842
Bhubaneswar,3672246,1571933,2135893,3647724
Trivandrum,3919193,935435,1655506,3478131
Calicut,3229910,902012,1665145,2986470
Indore,2918971,896304,1629668,2862480
Coimbatore,2842835,846649,1285922,2578553
Nagpur,3061548,948237,1605433,2591282
Bagdogra,3216640,1473310,1980049,2539460
Varanasi,3010702,1466718,1708220,2538578
Amritsar,2457615,854352,1382004,2557955
Visakhapatnam,2681283,1113513,1610483,2504712
Ranchi,2485293,1219643,1723237,2437597
Raipur,2119417,1041070,1407157,2264607
Mangalore,1876294,614845,1013453,1813096
Dehradun,1325931,647209,917949,1591342
Jammu,1455433,850909,1273288,1586887
Trichy,1612492,355903,556707,1523741
Agartala,1506435,577085,901206,1361604
Udaipur,1249617,404787,917938,1389778
Leh,763042,321462,1050714,1259095
Portblair,1658661,400361,761610,1281861
Kannur (Kial),1583600,481084,799122,1264169
Surat,1515557,564260,933817,1227961
Imphal,1285860,492752,814913,1230529
Madurai,1422337,565539,679781,1141128
Bhopal,1331322,462932,733236,1135465
Vadodara,1104061,267800,575690,1100941
Vijayawada,1130583,507215,625131,965107
Tirupati,834984,352375,623341,924727
Jodhpur,568716,281856,768227,919169
Rajkot,216301,143740,420372,771647
Shirdi,568968,85673,176787,728411
Gorakhpur,665703,500744,602820,723176
Dibrugarh,531993,386694,525925,671588
Darbhanga,0,153281,619948,611310
Prayagraj,414064,346861,441006,577004
Durgapur,171155,86561,249975,489817
Aurangabad,347734,145561,250989,464138
Jabalpur,313085,126647,294356,451117
Rajahmundry,409890,204365,275601,431025
Goa (Mopa),NA,NA,NA,640007
Silchar,398910,265203,316178,400568
Aizawl (Lengpui),206647,79104,190462,356051
Hubli,475218,119072,188342,321720
Belgaum,276308,258038,280016,298050
Dimapur,192899,110590,206519,292707
Kanpur (Chakeri),212017,63131,175268,249166
Jharsuguda,216084,203601,263277,233839
Gwalior,133635,68756,173900,220102
Gaya,237452,69655,47311,227544
Tuticorin,235692,121320,135363,202228
Mysore,143288,84690,104406,187689
Gaggal (Kangra),151535,105373,129995,172096
Jorhat,145347,42190,75172,152104
Bareilly,0,1641,103667,142461
Agra,16735,2174,72831,130518
Kolhapur,130868,71557,96319,127938
Jamnagar,68654,21866,61668,122300
Juhu,157852,59847,85959,109640
Barapani (Shillong),30502,5690,62824,107883
Nasik (Hal Ozar),102357,83140,51789,107229
Jaisalmer,180550,44121,90343,113482
Kalaburgi,13244,61449,86370,78735
Kandla,86264,69265,92445,77869
Pondicherry,68195,169,1012,76094
Pantnagar,28289,12278,17666,69482
Deoghar,NA,NA,NA,76190
Cuddapah,108646,50218,12855,69541
Jagdalpur,243,25582,46519,62657
Kishangarh,126558,95083,138981,58016
Bhavnagar,43589,10187,34442,61830
Agatti,41146,6120,34896,48172
Bhuj,31807,13500,17840,45910
Bilaspur,0,2915,25356,40742
Diu,28263,16519,31860,39765
Kurnool,NA,NA,31535,33540
Rupasi,0,0,26181,36457
Lakhimpur (Lilabari),19795,12122,27486,29734
Sindhudurg,NA,NA,19569,28225
Hollongi,NA,NA,NA,33447
Khajuraho,38692,338,1676,26482
Hindon,7877,12772,27794,20516
Bikaner,45280,22609,16183,22018
Kushinagar,0,0,11155,20340
Vijayanagar,67378,22248,7793,25346
Porbandar,76799,14964,14790,18387
Bhuntar,27276,9761,17638,17364
Tezu,35,9,6770,17796
Pakyong,3749,11494,44740,15185
Keshod (Junagarh),54,10,0,13192
Gondia,39,0,1774,10703
Bangalore (Hal),0,0,2067,9947
Pasighat,1343,370,5814,10431
Shimla,9290,1006,1894,11276
Bidar,0,11955,4038,8105
Rourkela,NA,NA,NA,9400
Tezpur,3346,2700,4896,3769
Jeypore,NA,NA,NA,4538
Jamshedpur,NA,NA,NA,2645
Hyderabad (Begumpet),80,1538,3133,1717
Pithoragarh,4958,7,532,348
Jalgaon,15330,6049,7604,298
Nanded,136764,28176,19738,295
Salem,35905,18513,2577,260
Ziro,NA,NA,NA,181
Kota,72,33,117,151
Safdarjung,45,9,10,147
Sholapur,154,13,23,145
Ludhiana,16918,7150,321,140
Pathankot,11661,10139,10705,109
Hisar,49,220,271,106
Bhatinda,24613,94,162,104
Mundra,2377,16,279,73
Coochbeher,0,8,7,3
Adampur (Jalandhar),48670,13965,1955,0
Total,341050651,115379783,188891441,327786595
