Airport,2019-20,2020-21,2021-22,2022-23
Delhi (Dial),67301016.0,22583736.0,39339998.0,65540896
Mumbai (Mial),45873329.0,11054811.0,21747892.0,43349828
Bangalore (Bial),32361666.0,10914194.0,16287097.0,31908834
Hyderabad (Ghial),21651878.0,8048248.0,12429796.0,21108504
Chennai,22266722.0,5495707.0,9533301.0,18643276
Kolkata,22015391.0,7728906.0,11036108.0,17873303
Ahmedabad,11432996.0,3642413.0,5670896.0,10187965
Cochin (Cial),9624334.0,2458458.0,4717777.0,8875626
Goa,8356240.0,2890545.0,5238051.0,8418722
Pune,8085607.0,2137859.0,3713491.0,8157161
Lucknow,5433757.0,2441037.0,3303960.0,5292508
Guwahati,5457449.0,2189135.0,3148956.0,5007599
Jaipur,5031561.0,1850187.0,2943171.0,4813275
Srinagar,2820924.0,1802904.0,3158400.0,4410723
Patna,4525765.0,2710000.0,2967681.0,3752906
Chandigarh,2445202.0,1381634.0,2289169.0,3668842
Bhubaneswar,3672246.0,1571933.0,2135893.0,3647724
Trivandrum,3919193.0,935435.0,1655506.0,3478131
Calicut,3229910.0,902012.0,1665145.0,2986470
Indore,2918971.0,896304.0,1629668.0,2862480
Coimbatore,2842835.0,846649.0,1285922.0,2578553
Nagpur,3061548.0,948237.0,1605433.0,2591282
Bagdogra,3216640.0,1473310.0,1980049.0,2539460
Varanasi,3010702.0,1466718.0,1708220.0,2538578
Amritsar,2457615.0,854352.0,1382004.0,2557955
Visakhapatnam,2681283.0,1113513.0,1610483.0,2504712
Ranchi,2485293.0,1219643.0,1723237.0,2437597
Raipur,2119417.0,1041070.0,1407157.0,2264607
Mangalore,1876294.0,614845.0,1013453.0,1813096
Dehradun,1325931.0,647209.0,917949.0,1591342
Jammu,1455433.0,850909.0,1273288.0,1586887
Trichy,1612492.0,355903.0,556707.0,1523741
Agartala,1506435.0,577085.0,901206.0,1361604
Udaipur,1249617.0,404787.0,917938.0,1389778
Leh,763042.0,321462.0,1050714.0,1259095
Portblair,1658661.0,400361.0,761610.0,1281861
Kannur (Kial),1583600.0,481084.0,799122.0,1264169
Surat,1515557.0,564260.0,933817.0,1227961
Imphal,1285860.0,492752.0,814913.0,1230529
Madurai,1422337.0,565539.0,679781.0,1141128
Bhopal,1331322.0,462932.0,733236.0,1135465
Vadodara,1104061.0,267800.0,575690.0,1100941
Vijayawada,1130583.0,507215.0,625131.0,965107
Tirupati,834984.0,352375.0,623341.0,924727
Jodhpur,568716.0,281856.0,768227.0,919169
Rajkot,216301.0,143740.0,420372.0,771647
Shirdi,568968.0,85673.0,176787.0,728411
Gorakhpur,665703.0,500744.0,602820.0,723176
Dibrugarh,531993.0,386694.0,525925.0,671588
Darbhanga,0.0,153281.0,619948.0,611310
Prayagraj,414064.0,346861.0,441006.0,577004
Durgapur,171155.0,86561.0,249975.0,489817
Aurangabad,347734.0,145561.0,250989.0,464138
Jabalpur,313085.0,126647.0,294356.0,451117
Rajahmundry,409890.0,204365.0,275601.0,431025
Goa (Mopa),0.0,,,640007
Silchar,398910.0,265203.0,316178.0,400568
Aizawl (Lengpui),206647.0,79104.0,190462.0,356051
Hubli,475218.0,119072.0,188342.0,321720
Belgaum,276308.0,258038.0,280016.0,298050
Dimapur,192899.0,110590.0,206519.0,292707
Kanpur (Chakeri),212017.0,63131.0,175268.0,249166
Jharsuguda,216084.0,203601.0,263277.0,233839
Gwalior,133635.0,68756.0,173900.0,220102
Gaya,237452.0,69655.0,47311.0,227544
Tuticorin,235692.0,121320.0,135363.0,202228
Mysore,143288.0,84690.0,104406.0,187689
Gaggal (Kangra),151535.0,105373.0,129995.0,172096
Jorhat,145347.0,42190.0,75172.0,152104
Bareilly,0.0,1641.0,103667.0,142461
Agra,16735.0,2174.0,72831.0,130518
Kolhapur,130868.0,71557.0,96319.0,127938
Jamnagar,68654.0,21866.0,61668.0,122300
Juhu,157852.0,59847.0,85959.0,109640
Barapani (Shillong),30502.0,5690.0,62824.0,107883
Nasik (Hal Ozar),102357.0,83140.0,51789.0,107229
Jaisalmer,180550.0,44121.0,90343.0,113482
Kalaburgi,13244.0,61449.0,86370.0,78735
Kandla,86264.0,69265.0,92445.0,77869
Pondicherry,68195.0,169.0,1012.0,76094
Pantnagar,28289.0,12278.0,17666.0,69482
Deoghar,0.0,,,76190
Cuddapah,108646.0,50218.0,12855.0,69541
Jagdalpur,243.0,25582.0,46519.0,62657
Kishangarh,126558.0,95083.0,138981.0,58016
Bhavnagar,43589.0,10187.0,34442.0,61830
Agatti,41146.0,6120.0,34896.0,48172
Bhuj,31807.0,13500.0,17840.0,45910
Bilaspur,0.0,2915.0,25356.0,40742
Diu,28263.0,16519.0,31860.0,39765
Kurnool,0.0,,31535.0,33540
Rupasi,0.0,0.0,26181.0,36457
Lakhimpur (Lilabari),19795.0,12122.0,27486.0,29734
Sindhudurg,0.0,,19569.0,28225
Hollongi,0.0,,,33447
Khajuraho,38692.0,338.0,1676.0,26482
Hindon,7877.0,12772.0,27794.0,20516
Bikaner,45280.0,22609.0,16183.0,22018
Kushinagar,0.0,0.0,11155.0,20340
Vijayanagar,67378.0,22248.0,7793.0,25346
Porbandar,76799.0,14964.0,14790.0,18387
Bhuntar,27276.0,9761.0,17638.0,17364
Tezu,35.0,9.0,6770.0,17796
Pakyong,3749.0,11494.0,44740.0,15185
Keshod (Junagarh),54.0,10.0,0.0,13192
Gondia,39.0,0.0,1774.0,10703
Bangalore (Hal),0.0,0.0,2067.0,9947
Pasighat,1343.0,370.0,5814.0,10431
Shimla,9290.0,1006.0,1894.0,11276
Bidar,0.0,11955.0,4038.0,8105
Rourkela,0.0,,,9400
Tezpur,3346.0,2700.0,4896.0,3769
Jeypore,0.0,,,4538
Jamshedpur,0.0,,,2645
Hyderabad (Begumpet),80.0,1538.0,3133.0,1717
Pithoragarh,4958.0,7.0,532.0,348
Jalgaon,15330.0,6049.0,7604.0,298
Nanded,136764.0,28176.0,19738.0,295
Salem,35905.0,18513.0,2577.0,260
Ziro,0.0,,,181
Kota,72.0,33.0,117.0,151
Safdarjung,45.0,9.0,10.0,147
Sholapur,154.0,13.0,23.0,145
Ludhiana,16918.0,7150.0,321.0,140
Pathankot,11661.0,10139.0,10705.0,109
